trial_id,lr_balance_weight,makespan_weight,balance_weight,production_line_avg_time_weight,production_line_balance_weight,aisle_dispersion_weight,inbound_wait_weight,avg_completion_proposed_proposed_optimization_hours,log_proposed_proposed_optimization,avg_completion_baseline_baseline_optimization_hours,log_baseline_baseline_optimization,avg_completion_mean_hours
1,0.1,0.001,0.1,0.001,0.0,0.0,0,6.259244444444445,logs\grid_search_optimizer_weights\trial0001-prop-prop-opt.log,7.4103972222222225,logs\grid_search_optimizer_weights\trial0001-base-base-opt.log,6.834820833333334
2,0.1,0.001,0.1,0.001,0.0,0.0,0.0001,6.319850000000001,logs\grid_search_optimizer_weights\trial0002-prop-prop-opt.log,7.3696472222222225,logs\grid_search_optimizer_weights\trial0002-base-base-opt.log,6.844748611111111
3,0.1,0.001,0.1,0.01,0.0,0.0,0,6.041533333333334,logs\grid_search_optimizer_weights\trial0003-prop-prop-opt.log,7.189097222222221,logs\grid_search_optimizer_weights\trial0003-base-base-opt.log,6.6153152777777775
4,0.1,0.001,0.1,0.01,0.0,0.0,0.0001,6.108147222222223,logs\grid_search_optimizer_weights\trial0004-prop-prop-opt.log,7.225238888888889,logs\grid_search_optimizer_weights\trial0004-base-base-opt.log,6.666693055555555
5,0.1,0.001,0.1,0.05,0.0,0.0,0,5.943480555555555,logs\grid_search_optimizer_weights\trial0005-prop-prop-opt.log,6.757875,logs\grid_search_optimizer_weights\trial0005-base-base-opt.log,6.350677777777777
6,0.1,0.001,0.1,0.05,0.0,0.0,0.0001,5.942905555555556,logs\grid_search_optimizer_weights\trial0006-prop-prop-opt.log,6.981327777777777,logs\grid_search_optimizer_weights\trial0006-base-base-opt.log,6.462116666666667
7,0.1,0.01,0.1,0.001,0.0,0.0,0,6.381608333333334,logs\grid_search_optimizer_weights\trial0007-prop-prop-opt.log,6.869416666666668,logs\grid_search_optimizer_weights\trial0007-base-base-opt.log,6.625512500000001
8,0.1,0.01,0.1,0.001,0.0,0.0,0.0001,6.457305555555555,logs\grid_search_optimizer_weights\trial0008-prop-prop-opt.log,6.918919444444444,logs\grid_search_optimizer_weights\trial0008-base-base-opt.log,6.688112499999999
9,0.1,0.01,0.1,0.01,0.0,0.0,0,6.259244444444445,logs\grid_search_optimizer_weights\trial0009-prop-prop-opt.log,7.4103972222222225,logs\grid_search_optimizer_weights\trial0009-base-base-opt.log,6.834820833333334
10,0.1,0.01,0.1,0.01,0.0,0.0,0.0001,6.068022222222223,logs\grid_search_optimizer_weights\trial0010-prop-prop-opt.log,6.960213888888889,logs\grid_search_optimizer_weights\trial0010-base-base-opt.log,6.5141180555555565
