trial_id,lr_balance_weight,makespan_weight,balance_weight,production_line_avg_time_weight,production_line_balance_weight,aisle_dispersion_weight,inbound_wait_weight,outbound_choice_bonus_weight,log_proposed_proposed_optimization,avg_completion_proposed_proposed_optimization_hours,relocations_proposed_proposed_optimization,final_balance_proposed_proposed_optimization,pairing_with_solo_proposed_proposed_optimization_pct,log_baseline_baseline_optimization,avg_completion_baseline_baseline_optimization_hours,relocations_baseline_baseline_optimization,final_balance_baseline_baseline_optimization,pairing_with_solo_baseline_baseline_optimization_pct,avg_completion_mean_hours,relocations_mean,pairing_with_solo_mean_pct
1,0.1,0.01,0.1,0.01,0.0,0.5,-0.1,0.5,logs\opt_weight_search\trial0001-prop-prop-opt.log,6.104319444444444,104,,77.0,logs\opt_weight_search\trial0001-base-base-opt.log,6.585222222222222,111,,74.0,6.3447708333333335,107.5,75.5
2,0.1,0.01,0.1,0.01,0.0,0.5,-0.1,1.0,logs\opt_weight_search\trial0002-prop-prop-opt.log,6.104319444444444,104,,77.0,logs\opt_weight_search\trial0002-base-base-opt.log,6.585222222222222,111,,74.0,6.3447708333333335,107.5,75.5
3,0.1,0.01,0.1,0.01,0.0,0.5,-0.01,0.5,logs\opt_weight_search\trial0003-prop-prop-opt.log,6.526868055555556,98,,77.0,logs\opt_weight_search\trial0003-base-base-opt.log,6.916347222222222,88,,75.0,6.721607638888889,93.0,76.0
4,0.1,0.01,0.1,0.01,0.0,0.5,-0.01,1.0,logs\opt_weight_search\trial0004-prop-prop-opt.log,6.526868055555556,98,,77.0,logs\opt_weight_search\trial0004-base-base-opt.log,6.916347222222222,88,,75.0,6.721607638888889,93.0,76.0
5,0.1,0.01,0.1,0.01,0.0,0.5,0,0.5,logs\opt_weight_search\trial0005-prop-prop-opt.log,5.938173611111111,105,,78.0,logs\opt_weight_search\trial0005-base-base-opt.log,6.509479166666667,104,,77.5,6.223826388888889,104.5,77.75
6,0.1,0.01,0.1,0.01,0.0,0.5,0,1.0,logs\opt_weight_search\trial0006-prop-prop-opt.log,5.938173611111111,105,,78.0,logs\opt_weight_search\trial0006-base-base-opt.log,6.509479166666667,104,,77.5,6.223826388888889,104.5,77.75
7,0.1,0.01,0.1,0.01,0.0,0.5,0.01,0.5,logs\opt_weight_search\trial0007-prop-prop-opt.log,6.139763888888889,116,,76.0,logs\opt_weight_search\trial0007-base-base-opt.log,6.749326388888889,120,,75.0,6.4445451388888895,118.0,75.5
8,0.1,0.01,0.1,0.01,0.0,0.5,0.01,1.0,logs\opt_weight_search\trial0008-prop-prop-opt.log,6.139763888888889,116,,76.0,logs\opt_weight_search\trial0008-base-base-opt.log,6.749326388888889,120,,75.0,6.4445451388888895,118.0,75.5
9,0.1,0.01,0.1,0.01,0.1,0.5,-0.1,0.5,logs\opt_weight_search\trial0009-prop-prop-opt.log,6.104319444444444,104,,77.0,logs\opt_weight_search\trial0009-base-base-opt.log,6.585222222222222,111,,74.0,6.3447708333333335,107.5,75.5
10,0.1,0.01,0.1,0.01,0.1,0.5,-0.1,1.0,logs\opt_weight_search\trial0010-prop-prop-opt.log,6.104319444444444,104,,77.0,logs\opt_weight_search\trial0010-base-base-opt.log,6.585222222222222,111,,74.0,6.3447708333333335,107.5,75.5
11,0.1,0.01,0.1,0.01,0.1,0.5,-0.01,0.5,logs\opt_weight_search\trial0011-prop-prop-opt.log,6.526868055555556,98,,77.0,logs\opt_weight_search\trial0011-base-base-opt.log,6.916347222222222,88,,75.0,6.721607638888889,93.0,76.0
12,0.1,0.01,0.1,0.01,0.1,0.5,-0.01,1.0,logs\opt_weight_search\trial0012-prop-prop-opt.log,6.526868055555556,98,,77.0,logs\opt_weight_search\trial0012-base-base-opt.log,6.916347222222222,88,,75.0,6.721607638888889,93.0,76.0
13,0.1,0.01,0.1,0.01,0.1,0.5,0,0.5,logs\opt_weight_search\trial0013-prop-prop-opt.log,5.938173611111111,105,,78.0,logs\opt_weight_search\trial0013-base-base-opt.log,6.509479166666667,104,,77.5,6.223826388888889,104.5,77.75
14,0.1,0.01,0.1,0.01,0.1,0.5,0,1.0,logs\opt_weight_search\trial0014-prop-prop-opt.log,5.938173611111111,105,,78.0,logs\opt_weight_search\trial0014-base-base-opt.log,6.509479166666667,104,,77.5,6.223826388888889,104.5,77.75
15,0.1,0.01,0.1,0.01,0.1,0.5,0.01,0.5,logs\opt_weight_search\trial0015-prop-prop-opt.log,6.139763888888889,116,,76.0,logs\opt_weight_search\trial0015-base-base-opt.log,6.749326388888889,120,,75.0,6.4445451388888895,118.0,75.5
16,0.1,0.01,0.1,0.01,0.1,0.5,0.01,1.0,logs\opt_weight_search\trial0016-prop-prop-opt.log,6.139763888888889,116,,76.0,logs\opt_weight_search\trial0016-base-base-opt.log,6.749326388888889,120,,75.0,6.4445451388888895,118.0,75.5
17,0.1,0.01,0.1,0.05,0.0,0.5,-0.1,0.5,logs\opt_weight_search\trial0017-prop-prop-opt.log,6.425805555555555,104,,77.5,logs\opt_weight_search\trial0017-base-base-opt.log,6.959833333333334,112,,74.5,6.692819444444444,108.0,76.0
18,0.1,0.01,0.1,0.05,0.0,0.5,-0.1,1.0,logs\opt_weight_search\trial0018-prop-prop-opt.log,6.425805555555555,104,,77.5,logs\opt_weight_search\trial0018-base-base-opt.log,6.959833333333334,112,,74.5,6.692819444444444,108.0,76.0
19,0.1,0.01,0.1,0.05,0.0,0.5,-0.01,0.5,logs\opt_weight_search\trial0019-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0019-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
20,0.1,0.01,0.1,0.05,0.0,0.5,-0.01,1.0,logs\opt_weight_search\trial0020-prop-prop-opt.log,6.420416666666667,107,,79.0,logs\opt_weight_search\trial0020-base-base-opt.log,6.818319444444445,130,,78.0,6.619368055555556,118.5,78.5
